query,rank,sentence,label,label_text,score
My card declines when I pay for my meal.,1,"I made a card payment, but it has been declined?",25,declined_card_payment,0.9
My card declines when I pay for my meal.,2,The card payment I made didn't work.,25,declined_card_payment,0.9
My card declines when I pay for my meal.,3,I can't use my card because it is not working.,14,card_not_working,0.85
My card declines when I pay for my meal.,4,My card gets rejected when I try to use it,14,card_not_working,0.85
My card declines when I pay for my meal.,5,My card is not working when I try to use it.,14,card_not_working,0.85
My card declines when I pay for my meal.,6,Today I was out eating and my card was declined. Why's that?,14,card_not_working,0.85
My card declines when I pay for my meal.,7,"I tried using my card, but it doesn't work.",14,card_not_working,0.85
My card declines when I pay for my meal.,8,Something's wrong my card won't work.,14,card_not_working,0.85
My card declines when I pay for my meal.,9,I tried to use my card today in the restaurant but it didn't work and just got declined. What's wrong?,14,card_not_working,0.85
My card declines when I pay for my meal.,10,My card hasn't been working when I try to use it.,14,card_not_working,0.85
My card declines when I pay for my meal.,11,What's wrong with my card? The clerk at the grocery store said it was declined.,14,card_not_working,0.85
My card declines when I pay for my meal.,12,My card doesn't seem to work.,14,card_not_working,0.85
My card declines when I pay for my meal.,13,Today I used my card at a restaurant and it was declined. Why?,14,card_not_working,0.85
My card declines when I pay for my meal.,14,Why won't my card accept any transactions?,14,card_not_working,0.85
My card declines when I pay for my meal.,15,What's going on? My card wont accept any transactions.,14,card_not_working,0.85
My card declines when I pay for my meal.,16,My card don't work.,14,card_not_working,0.85
My card declines when I pay for my meal.,17,What's going on with my card? I've tried multiple times and it never goes through.,14,card_not_working,0.85
My card declines when I pay for my meal.,18,The terminal I paid at wouldn't take my card. Is something wrong?,23,contactless_not_working,0.85
My card declines when I pay for my meal.,19,Why didn't my payment process,45,pending_card_payment,0.85
My card declines when I pay for my meal.,20,Why did my payment get declined?,27,declined_transfer,0.85
My card declines when I pay for my meal.,21,The card payment I attempted to make failed.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,22,Why has my card been declined?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,23,You have declined my  payment.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,24,I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,25,The payment for the card did not go through,25,declined_card_payment,0.85
My card declines when I pay for my meal.,26,My card was rejected,25,declined_card_payment,0.85
My card declines when I pay for my meal.,27,I couldn't pay with my card,25,declined_card_payment,0.85
My card declines when I pay for my meal.,28,Why are all my card payments being declined?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,29,My card payment failed.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,30,Why has my payment been declined? I paid by card.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,31,"When I use my card, it says decline?",25,declined_card_payment,0.85
My card declines when I pay for my meal.,32,My card payment didn't work,25,declined_card_payment,0.85
My card declines when I pay for my meal.,33,I tried to make a purchase in the store but my card was declined.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,34,My card payment wasn't accepted.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,35,My card payment did not go through.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,36,My payment card was declined - could you tell me why?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,37,Why didn't my card payment work?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,38,My card payment didn't go through.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,39,The store card reader would not accept my card.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,40,Why was my payment declined? I keep trying my card but it's not working.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,41,My card was declined,25,declined_card_payment,0.85
My card declines when I pay for my meal.,42,my payment was rejected,25,declined_card_payment,0.85
My card declines when I pay for my meal.,43,Why did my card payment not work?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,44,My credit card has been declined.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,45,Why did my card payment get declined?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,46,My card payment is being declined and I've tried several times.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,47,My card payment has been declined,25,declined_card_payment,0.85
My card declines when I pay for my meal.,48,I've tried using my card multiple times and it keeps getting declined.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,49,My card was refused,25,declined_card_payment,0.85
My card declines when I pay for my meal.,50,Why is it saying my card payment is declined when I made it?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,51,"my card was refused, why?",25,declined_card_payment,0.85
My card declines when I pay for my meal.,52,I tried to pay with my card and it didn't work,25,declined_card_payment,0.85
My card declines when I pay for my meal.,53,"My card payment has been declined, why?",25,declined_card_payment,0.85
My card declines when I pay for my meal.,54,I was so embarrassed. Why didn't my payment clear?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,55,It seems like my card payment didn't work.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,56,My payment was declined,25,declined_card_payment,0.85
My card declines when I pay for my meal.,57,Why was the payment on my card declined?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,58,I made a card payment but it didn't work. Why not?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,59,What is going on with it saying my card payment was declined?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,60,"I keep trying to make a payment, but it doesn't work.",25,declined_card_payment,0.85
My card declines when I pay for my meal.,61,Why wasn't my card payment accepted?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,62,My card payment won't work.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,63,My card payment has failed.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,64,How come my card payment has been declined?,25,declined_card_payment,0.85
My card declines when I pay for my meal.,65,I tried to used my card in a shop and the transaction was declined.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,66,Card payment didn't go through.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,67,Please help to explain to me why my new card was declined when I tried to use it at my grocery store this morning to pay for the items I needed.  I tried three times to use it and it kept being declined.  I was very embarrassed standing there trying to buy my groceries.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,68,My card payment was not successful.,25,declined_card_payment,0.85
My card declines when I pay for my meal.,69,"I tried to use my debit card, but the payment did not work.",53,reverted_card_payment?,0.85
My card declines when I pay for my meal.,70,I made a payment but it was returned.,53,reverted_card_payment?,0.85
My card declines when I pay for my meal.,71,The card payment didn't work,53,reverted_card_payment?,0.85
My card declines when I pay for my meal.,72,My payment has not been accepted.,53,reverted_card_payment?,0.85
My card declines when I pay for my meal.,73,I am not able to make a purchase because there is an issue with my card,53,reverted_card_payment?,0.85
My card declines when I pay for my meal.,74,Why was my transaction declined?,35,failed_transfer,0.85
My card declines when I pay for my meal.,75,My credit card did not go through. Can you see if it has insufficient funds?,59,top_up_failed,0.85
My card declines when I pay for my meal.,76,I can't seem to be able to use my card,14,card_not_working,0.8
My card declines when I pay for my meal.,77,I cannot seem to use my card.,14,card_not_working,0.8
My card declines when I pay for my meal.,78,Why won't my card work.,14,card_not_working,0.8
My card declines when I pay for my meal.,79,My card is not working.,14,card_not_working,0.8
